Product,Section,DocPage,OfficialEndpoint,HTTP_or_Channel,DocSummary,ProductUseCase,CodeLocation,ChecklistRowId,ProjectStatus,TestCoverage,TierMin,Notes
REST,Trade & Quotes,Trades,"GET /v3/trades/{optionsTicker}",GET,Tick-level trade data for a contract over a time range,"MassiveClient.fetch_option_trades → GET /research/massive/trades-quotes/trades/{ticker}; Celery kind=trades_quotes mode=trades; gated by trades_enabled",servers/massive_client.py + servers/routers/research.py,trades-quotes,implemented,"pytest: no | manual: GET returns 403 on Starter",developer,"Gated by massive.features.trades_enabled. 403 when trades disabled."
REST,Technical Indicators,Simple Moving Average (SMA),"GET /v1/indicators/sma/{optionsTicker}",GET,Simple Moving Average over custom time range and window,MassiveClient._fetch_indicator('sma') → GET /research/massive/technical-indicators/sma/{ticker},servers/massive_client.py + servers/routers/research.py,FeedMassiveOptionPage Technical Indicators → SMA tab,implemented,N/A,starter,Read-only real-time query; supports option tickers (O: prefix) and stock tickers.
REST,Technical Indicators,Exponential Moving Average (EMA),"GET /v1/indicators/ema/{optionsTicker}",GET,Exponential Moving Average over custom time range and window,MassiveClient._fetch_indicator('ema') → GET /research/massive/technical-indicators/ema/{ticker},servers/massive_client.py + servers/routers/research.py,FeedMassiveOptionPage Technical Indicators → EMA tab,implemented,N/A,starter,Read-only real-time query; weights recent prices more heavily than SMA.
REST,Technical Indicators,"Moving Average Convergence/Divergence (MACD)","GET /v1/indicators/macd/{optionsTicker}",GET,MACD indicator over custom time range,MassiveClient.fetch_indicator_macd → GET /research/massive/technical-indicators/macd/{ticker},servers/massive_client.py + servers/routers/research.py,FeedMassiveOptionPage Technical Indicators → MACD tab,implemented,N/A,starter,Read-only; customizable short/long/signal windows.
REST,Technical Indicators,Relative Strength Index (RSI),"GET /v1/indicators/rsi/{optionsTicker}",GET,Relative Strength Index over custom time range,MassiveClient._fetch_indicator('rsi') → GET /research/massive/technical-indicators/rsi/{ticker},servers/massive_client.py + servers/routers/research.py,FeedMassiveOptionPage Technical Indicators → RSI tab,implemented,N/A,starter,Read-only; 0-100 scale (>70 overbought / <30 oversold).
REST,Market Operations,Condition Codes,GET /v3/reference/conditions,GET,"Unified trade/quote condition codes (CTA, UTP, OPRA, FINRA)",MassiveClient.fetch_market_conditions → GET /research/massive/market-ops/conditions,servers/massive_client.py + servers/routers/research.py,FeedMassiveOptionPage Market Ops → Conditions tab,implemented,N/A,starter,Read-only real-time query with asset_class/data_type filters.
REST,Market Operations,Exchanges,GET /v3/reference/exchanges,GET,"List of exchanges with IDs, names, MICs",MassiveClient.fetch_market_exchanges → GET /research/massive/market-ops/exchanges,servers/massive_client.py + servers/routers/research.py,FeedMassiveOptionPage Market Ops → Exchanges tab,implemented,N/A,starter,Read-only real-time query with asset_class/locale filters.
REST,Market Operations,Market Holidays,GET /v3/reference/market/holidays,GET,Upcoming market holidays and open/close times,MassiveClient.fetch_market_holidays → GET /research/massive/market-ops/holidays,servers/massive_client.py + servers/routers/research.py,FeedMassiveOptionPage Market Ops → Market Holidays tab,implemented,N/A,starter,Includes side-by-side comparison with local reference_us_holidays.
REST,Market Operations,Market Status,GET /v3/reference/market/status,GET,Current trading status for exchanges and overall market,MassiveClient.fetch_market_status → GET /research/massive/market-ops/status,servers/massive_client.py + servers/routers/research.py,FeedMassiveOptionPage Market Ops → Market Status tab,implemented,N/A,starter,Read-only real-time query; displays status cards for all markets.
WebSocket,Aggregates (Per Second),Aggregates (Per Second),"wss://socket.polygon.io/options channel: A.O:{ticker}",WS,Stream second-by-second OHLCV for an options contract,Verified by verify script; no persistent bridge in engine,scripts/verify_massive_options_ws.py,websocket,partial,pytest: no | script: verify_massive_options_ws.py,starter,Persistent WS ingest → Redis → SSE not implemented (planned phase 2).
WebSocket,Aggregates (Per Minute),Aggregates (Per Minute),"wss://socket.polygon.io/options channel: AM.O:{ticker}",WS,Stream minute-by-minute OHLCV for an options contract,Verified by verify script; no persistent bridge in engine,scripts/verify_massive_options_ws.py,websocket,partial,pytest: no | script: verify_massive_options_ws.py,starter,
WebSocket,Quotes,Quotes,"wss://socket.polygon.io/options channel: Q.O:{ticker}",WS,Stream real-time BBO quotes for an options contract,Default channel in verify script; no persistent bridge,scripts/verify_massive_options_ws.py,websocket,partial,pytest: no | script: verify_massive_options_ws.py,starter,Starter tier receives delayed quotes.
WebSocket,Trades,Trades,"wss://socket.polygon.io/options channel: T.O:{ticker}",WS,Stream tick-level trades for an options contract,Noted in verify script comments; not actively verified on Starter,scripts/verify_massive_options_ws.py,websocket,partial,pytest: no | script: verify_massive_options_ws.py,developer,Starter may not have access to trades channel.
WebSocket,Fair Market Value,Fair Market Value,"wss://socket.polygon.io/options channel: FMV.O:{ticker}",WS,Stream real-time Fair Market Value for an options contract,"FMV section in Massive Option page; WS verify command entry point; no persistent bridge",scripts/verify_massive_options_ws.py + FeedMassiveOptionPage FMV section,fmv,partial,pytest: no | manual: copy FMV verify command from UI and run in terminal,business,Business plan only. Verify entry point implemented; no engine persistence.
Flat Files,Day Aggregates,Day Aggregates,S3 flat file download,File,Daily OHLCV across all US options as downloadable S3 file,Flat Files section in Massive Option page; not-implemented placeholder,FeedMassiveOptionPage Flat Files → Day aggregates panel,flat-file-day-aggs,not-implemented,N/A,starter,Bulk download alternative to REST aggregates. Visible but not yet integrated.
Flat Files,Minute Aggregates,Minute Aggregates,S3 flat file download,File,Minute OHLCV across all US options as downloadable S3 file,Flat Files section in Massive Option page; not-implemented placeholder,FeedMassiveOptionPage Flat Files → Minute aggregates panel,flat-file-minute-aggs,not-implemented,N/A,starter,Visible but not yet integrated.
Flat Files,Quotes,Quotes,S3 flat file download,File,"Top-of-book quotes, nanosecond timestamps as downloadable S3 file",Flat Files section in Massive Option page; not-implemented placeholder,FeedMassiveOptionPage Flat Files → Quotes panel,flat-file-quotes,not-implemented,N/A,starter,Visible but not yet integrated.
Flat Files,Trades,Trades,S3 flat file download,File,"Tick-level trades, nanosecond timestamps as downloadable S3 file",Flat Files section in Massive Option page; not-implemented placeholder,FeedMassiveOptionPage Flat Files → Trades panel,flat-file-trades,not-implemented,N/A,developer,Trades flat files require Developer tier. Visible but not yet integrated.
Project,Corporate actions,Dividends,"GET /v3/reference/dividends (deprecated) → GET /stocks/v1/dividends (new)",GET,Historical cash dividend distributions for a ticker,"Sync dividends → massive_corporate_action; Celery job kind=corporate_action",MassiveClient.fetch_dividends → _apply_corporate_actions,corporate-actions,implemented,"pytest: no | manual: POST sync kind=corporate_action, GET /research/massive/corporate-actions",starter,Not under Massive Options taxonomy; Stocks REST sync. Deprecated /v3 path.
Project,Corporate actions,Splits,"GET /v3/reference/splits (deprecated) → GET /stocks/v1/splits (new)",GET,Historical stock split events and ratios,"Sync splits → massive_corporate_action; Celery job kind=corporate_action",MassiveClient.fetch_splits → _apply_corporate_actions,corporate-actions,implemented,"pytest: no | manual: POST sync kind=corporate_action, GET /research/massive/corporate-actions",starter,Not under Massive Options taxonomy; Stocks REST sync.
Project,Infrastructure,Celery queue,N/A (internal),N/A,"Dedicated Celery queue 'massive' for background sync jobs","Queue summary in Massive Option header; full queue details in Celery page",servers/massive_tasks.py + research router,(header summary),implemented,"pytest: no | manual: start worker -Q massive, enqueue, check /research/massive/jobs",starter,Project-only; not a Massive API surface.
Project,Infrastructure,Greeks / IV,N/A (derived from chain snapshot),N/A,"Greeks/IV capability workflow with chain+contract+unified snapshot plus DB verify and quality metrics","Greeks / IV section with four tabs, coverage API, and quality summary metrics",fetch_options_snapshot + fetch_option_contract_snapshot + fetch_unified_snapshot + /research/massive/greeks-coverage,greeks-iv,implemented,"pytest: no | manual: Massive Option → Greeks / IV (all tabs + coverage)",starter,Project-only derived workflow.
Project,Infrastructure,Daily open interest,N/A (derived from chain snapshot OI field),N/A,Historical daily OI per contract in option_open_interest_daily,Chain snapshot includes open_interest; standalone OI job is placeholder,run_massive_job (kind=oi) → placeholder,daily-oi,partial,"pytest: no | manual: GET /research/option-oi after chain snapshot",starter,Project-only placeholder.
