Product,Section,DocPage,OfficialEndpoint,HTTP_or_Channel,DocSummary,ProductUseCase,CodeLocation,ChecklistRowId,ProjectStatus,TestCoverage,TierMin,Notes
REST,Trades & Quotes,Trades,"GET /v3/trades/{stocksTicker}",GET,"Historical tick-level trade data for a stock over a time range","Tick-level analysis; trade tape replay",(not implemented),stock-trades-quotes,not-implemented,N/A,starter,Paginated with nanosecond timestamps.
REST,Trades & Quotes,Last Trade,"GET /v2/last/trade/{stocksTicker}",GET,"Most recent trade for a stock (price, size, exchange, timestamp)","Real-time last-sale lookup for a stock ticker",(not implemented),stock-trades-quotes,not-implemented,N/A,starter,Read-only real-time query.
REST,Trades & Quotes,Quotes (NBBO),"GET /v3/quotes/{stocksTicker}",GET,"Historical NBBO quotes for a stock over a time range","Bid/ask spread analysis; historical quote replay",(not implemented),stock-trades-quotes,not-implemented,N/A,starter,Paginated with nanosecond timestamps.
REST,Trades & Quotes,Last Quote (NBBO),"GET /v2/last/nbbo/{stocksTicker}",GET,"Most recent NBBO quote for a stock (bid, ask, sizes, exchange, timestamp)","Real-time spread lookup for a stock ticker",(not implemented),stock-trades-quotes,not-implemented,N/A,starter,Read-only real-time query.
REST,Technical Indicators,Simple Moving Average (SMA),"GET /v1/indicators/sma/{stocksTicker}",GET,Simple Moving Average over custom time range and window,"Shared endpoint already implemented for options; works with stock tickers",MassiveClient._fetch_indicator('sma') → GET /research/massive/technical-indicators/sma/{ticker},stock-technical-indicators,implemented,N/A,starter,Shared with Massive Option; supports stock tickers natively.
REST,Technical Indicators,Exponential Moving Average (EMA),"GET /v1/indicators/ema/{stocksTicker}",GET,Exponential Moving Average over custom time range and window,"Shared endpoint already implemented for options; works with stock tickers",MassiveClient._fetch_indicator('ema') → GET /research/massive/technical-indicators/ema/{ticker},stock-technical-indicators,implemented,N/A,starter,Shared with Massive Option; supports stock tickers natively.
REST,Technical Indicators,"Moving Average Convergence/Divergence (MACD)","GET /v1/indicators/macd/{stocksTicker}",GET,MACD indicator over custom time range,"Shared endpoint already implemented for options; works with stock tickers",MassiveClient.fetch_indicator_macd → GET /research/massive/technical-indicators/macd/{ticker},stock-technical-indicators,implemented,N/A,starter,Shared with Massive Option; supports stock tickers natively.
REST,Technical Indicators,Relative Strength Index (RSI),"GET /v1/indicators/rsi/{stocksTicker}",GET,Relative Strength Index over custom time range,"Shared endpoint already implemented for options; works with stock tickers",MassiveClient._fetch_indicator('rsi') → GET /research/massive/technical-indicators/rsi/{ticker},stock-technical-indicators,implemented,N/A,starter,Shared with Massive Option; supports stock tickers natively.
REST,Market Operations,Condition Codes,GET /v3/reference/conditions,GET,"Unified trade/quote condition codes (CTA, UTP, OPRA, FINRA)","Shared endpoint already implemented in Massive Option Market Ops",MassiveClient.fetch_market_conditions → GET /research/massive/market-ops/conditions,stock-market-ops,implemented,N/A,starter,Shared with Massive Option; same endpoint covers stocks.
REST,Market Operations,Exchanges,GET /v3/reference/exchanges,GET,"List of exchanges with IDs, names, MICs","Shared endpoint already implemented in Massive Option Market Ops",MassiveClient.fetch_market_exchanges → GET /research/massive/market-ops/exchanges,stock-market-ops,implemented,N/A,starter,Shared with Massive Option; same endpoint covers stocks.
REST,Market Operations,Market Holidays,GET /v3/reference/market/holidays,GET,Upcoming market holidays and open/close times,"Shared endpoint already implemented in Massive Option Market Ops",MassiveClient.fetch_market_holidays → GET /research/massive/market-ops/holidays,stock-market-ops,implemented,N/A,starter,Shared with Massive Option; same endpoint covers stocks.
REST,Market Operations,Market Status,GET /v3/reference/market/status,GET,Current trading status for exchanges and overall market,"Shared endpoint already implemented in Massive Option Market Ops",MassiveClient.fetch_market_status → GET /research/massive/market-ops/status,stock-market-ops,implemented,N/A,starter,Shared with Massive Option; same endpoint covers stocks.
REST,Corporate Actions,Dividends,"GET /v3/reference/dividends",GET,Historical cash dividend distributions for a ticker,"Sync dividends → massive_corporate_action; already implemented via Massive Option",MassiveClient.fetch_dividends → _apply_corporate_actions,stock-corporate-actions,implemented,"pytest: no | manual: POST sync kind=corporate_action",starter,Shared with Massive Option corporate actions.
REST,Corporate Actions,Splits,"GET /v3/reference/splits",GET,Historical stock split events and ratios,"Sync splits → massive_corporate_action; already implemented via Massive Option",MassiveClient.fetch_splits → _apply_corporate_actions,stock-corporate-actions,implemented,"pytest: no | manual: POST sync kind=corporate_action",starter,Shared with Massive Option corporate actions.
REST,Fundamentals,Stock Financials,"GET /vX/reference/financials",GET,"Quarterly and annual financial statements (income statement, balance sheet, cash flow)","Fundamental analysis; display key financial metrics and ratios for a stock",(not implemented),stock-fundamentals,not-implemented,N/A,starter,"Experimental (vX). Supports timeframe=annual|quarterly, include_sources."
REST,Filings & Disclosures,SEC Filings,GET /vX/reference/sec/filings,GET,"Paginated list of SEC filings (10-K, 10-Q, 8-K, etc.) for a ticker","Display filing history; event-driven research on earnings and material disclosures",(not implemented),stock-filings,not-implemented,N/A,starter,"Experimental (vX). Filter by ticker, type, period_of_report, filing_date."
REST,Filings & Disclosures,SEC Filing Detail,"GET /vX/reference/sec/filings/{accession_number}",GET,"Full metadata for a single SEC filing by accession number","Drill into a specific filing; retrieve document URLs and filing period",(not implemented),stock-filings,not-implemented,N/A,starter,"Experimental (vX). accession_number format: 0001234567-22-000001."
REST,News,Ticker News,GET /v2/reference/news,GET,"Paginated news articles with publisher, tickers, keywords, and image URLs","Display relevant news for a ticker or watchlist; event correlation",(not implemented),stock-news,not-implemented,N/A,starter,"Filter by ticker, published_utc range, and sort order."
WebSocket,Aggregates (Per Second),Aggregates (Per Second),"wss://socket.polygon.io/stocks channel: A.{ticker}",WS,Stream second-by-second OHLCV for a stock ticker,"Real-time per-second bars for stock tickers; no persistent bridge in engine",(not implemented),stock-ws-aggregates-s,not-implemented,N/A,starter,Persistent WS ingest → Redis → SSE not implemented.
WebSocket,Aggregates (Per Minute),Aggregates (Per Minute),"wss://socket.polygon.io/stocks channel: AM.{ticker}",WS,Stream minute-by-minute OHLCV for a stock ticker,"Real-time per-minute bars for stock tickers; no persistent bridge in engine",(not implemented),stock-ws-aggregates-m,not-implemented,N/A,starter,
WebSocket,Trades,Trades,"wss://socket.polygon.io/stocks channel: T.{ticker}",WS,Stream tick-level trades for a stock ticker,"Real-time trade prints for stock tickers; no persistent bridge",(not implemented),stock-ws-trades,not-implemented,N/A,starter,
WebSocket,Quotes,Quotes,"wss://socket.polygon.io/stocks channel: Q.{ticker}",WS,Stream real-time NBBO quotes for a stock ticker,"Real-time bid/ask for stock tickers; no persistent bridge",(not implemented),stock-ws-quotes,not-implemented,N/A,starter,Starter tier receives delayed quotes.
Flat Files,Day Aggregates,Day Aggregates,S3 flat file download,File,Daily OHLCV across all US stocks as downloadable S3 file,"Bulk download alternative to REST aggregates for stocks",(not implemented),stock-flat-file-day-aggs,not-implemented,N/A,starter,Bulk download not yet integrated.
Flat Files,Minute Aggregates,Minute Aggregates,S3 flat file download,File,Minute OHLCV across all US stocks as downloadable S3 file,"Bulk download of minute bars for stocks",(not implemented),stock-flat-file-minute-aggs,not-implemented,N/A,starter,Bulk download not yet integrated.
Flat Files,Trades,Trades,S3 flat file download,File,"Tick-level stock trades, nanosecond timestamps as downloadable S3 file","Bulk download of stock trade data",(not implemented),stock-flat-file-trades,not-implemented,N/A,developer,Trades flat files require Developer tier.
Flat Files,Quotes,Quotes,S3 flat file download,File,"Top-of-book stock quotes, nanosecond timestamps as downloadable S3 file","Bulk download of stock quote data",(not implemented),stock-flat-file-quotes,not-implemented,N/A,starter,Bulk download not yet integrated.
